Username,Rapid Rating,Blitz Rating,Puzzle Rating
adiiii83,1576,1208,2247
adikt_072,844,543,892
adil-kinggambit,939,840,806
adilly008,1126,1148,622
adilmousa,485,423,779
adimitriadis,1405,1008,1944
adimpost,844,650,401
adinch,1159,1101,1718
adinvinsora,769,727,525
adisethia,1316,1011,1753
adit1209,1240,1048,547
aditeshlal,707,864,391
adith009,1033,768,784
adithj,950,710,798
aditjoshi,761,267,1200
aditya1yer,520,489,1154
aditya2435,1232,896,2042
aditya730,1223,1020,1330
adityamalve110,791,430,415
adityamavuru,1134,896,950
adityasajeesh,696,474,656
adityasaxena4,1431,1319,2033
adityathe3rd,560,416,1071
aditya_dwi,1316,1333,1831
adivity,1582,1409,1901
adizzo,1011,1024,1211
adjacentmindwash,1016,877,800
adjdjdjdjdjdjd,310,455,423
adjoshi5,909,710,413
adlaalmo,996,1096,889
adlinedesign,805,485,800
admiral_byng,1240,989,982
admist12,642,613,1323
adnaebl,1333,668,1199
adneyud,1457,999,1064
adolfovalenciajurado,1012,832,1957
adollarbird,1220,859,1545
adon1kam,1269,1203,1439
adon886,746,534,1623
adon8887,815,453,821
adonislyf,800,102,665
adonky,667,576,612
adoow,812,538,1185
adorablecheck,579,624,498
adorablejigar,1277,1050,1105
ados200102,814,619,923
adosasarus-rex,929,495,786
adoumi,706,711,788
adour,738,986,1025
adox87,1519,1248,570
adpope619,896,403,531
