Username,Rapid Rating,Blitz Rating,Puzzle Rating
acadaca,1572,1580,2357
acake39,882,401,1211
acannington1975,1032,693,1496
acarat,496,303,1091
acarpio89,1175,1161,1564
acavarra,950,296,429
acb94,883,741,1158
acbax,887,1016,1702
acbcdc888,744,642,426
acc8697,1065,1054,482
accary,923,485,814
acceeee,857,747,409
acceess,314,302,686
accelerate72,1311,1164,1260
accept_mygambit,868,582,599
access88,951,586,417
accidentalnegligence,1191,876,1887
account_deactivated,745,781,532
accutops,592,323,825
ace-2000,963,522,410
ace030333,686,529,846
ace1211,724,1008,1187
ace515456,754,565,410
ace977,1296,1138,1587
aceacebaby23,796,694,959
aceaiden,1378,1122,2421
acefrawley,1545,1291,2774
acegoldenuwu,743,936,795
acemer,623,649,400
acen504,1253,1302,590
acenoda,601,393,449
acenturyandabit,1242,941,509
aceproz,1190,883,1083
acer6921,634,961,719
aceracer66,1115,1039,1389
acericky,1065,930,1223
acestreasury,1865,1643,2659
aceventura88,616,534,1051
ace_elements,631,397,413
ace_online8888,1935,1860,2282
acharjee2614,1211,808,1010
achessavox,876,343,517
achessplayer542,945,1187,1882
achilies91,1329,1339,845
achilleantortoise,1308,1497,2070
achilleseels,1004,708,1204
achlad,885,866,1374
achooch,1302,1527,1406
achtung_verboten,1073,931,1188
achyutakeshava,1152,517,400
acidchessclub,1314,1246,857
acidgamz,1233,1011,1749
acidiccamo,1552,1545,1852
acidicskulls,964,708,1275
acirazzi,1417,1347,1073
ackeru,952,674,1498
ackf,994,664,1241
ackie225,743,496,412
aclark5000,1375,1034,1192
acm_chessmaster,1574,1088,1827
acneboi,472,127,636
acol96,1293,1121,1679
acolos,853,588,474
acolyne,1011,1005,845
acolytehw,1479,1265,1808
acombatwombat,1559,1495,1727
acomilaco,1069,521,1231
acompletelegend,661,603,937
acompooter,1257,960,1921
aconfusion,711,563,1166
acook20,924,761,1251
acornink,1110,701,1187
acporto,1266,941,429
acribbes,853,344,907
acrobase,1225,1072,1433
acrorilez,759,517,838
action97,1491,1200,1950
actionkidz,954,720,1695
activebold,1217,970,847
activehorizon,1052,1035,431
activeparrot,1225,1127,1843
actualbob,484,457,684
actualbowtie,611,661,1081
actualchickenyt,1184,859,833
actuallyg0d,1220,1128,1885
actuallygoated,940,1125,1030
actualpickle,1053,752,1163
actualquox,1575,1083,2241
acunningham,1293,843,800
acute_chess_pain,1229,971,998
acutux,877,665,1245
acxdontwitch,331,302,411
acy01,932,1032,401
acziii,1274,915,1582
ad11v4y,571,535,436
ad1313l,909,745,450
